text,adv_text,minimal_k
 Karl Jenkins better known as Dice Raw is an American hip hop artist from Philadelphia. He is associated with The Roots and one of the founding members of the now defunct musical group Nouveau Riche.He hooked up with the band while still in high school after Kelo a member of the group's production team spotted him in a local talent show. The group quickly took the young rapper under their collective wings and decided to bring his talent along slowly. He made his debut in The Lesson Pt., Karl Jenkins better known as Dice Raw is an American hip hop artist from Philadelphia. He is associated with The Roots and one of the founding members of the now defunct musical group Nouveau Riche.He hooked up with the band while still in high school after Kelo a member of the group's production team spotted him in a local talent show. The group rapids took the young rapper under their collective wings and decided to bring his talent along slowly. He made his debut in The Lesson Pt.,1.0
 The Burlington Cedar Rapids & Northern Passenger Depot now known as the Dows Depot Welcome Center is an historic building located in Dows Iowa United States. The depot was built in 1896 and serves the Burlington Cedar Rapids and Northern Railway. It was the first railway depot in Wright County. It passed to the Chicago Rock Island and Pacific Railroad and continued to serve as a working depot until 1980. The Dows Historical Society bought and restored the depot in 1988., The Burlington Cedar Rapids & Northern Passenger Depot now known as the Dows Depot Welcome Center is an historic building located in Dows Iowa United States. The depot was built in 1896 and serves the Burlington Cedar Rapids and Northern Railway. It was the first railway depot in Wright County. It voted to the Chicago Rock Island and Pacific Railroad and continued to serve as a working depot until 1980. The Dows Historical Society bought and restored the depot in 1988.,1.0
 The Aban Pearl was a twin-hull column-stabilized semi-submersible offshore drilling rig owned and operated by Aban Offshore drilling company. It is registered in Singapore. In 2009 the Aban Pearl became the first offshore gas rig operated by the Venezuela's state-owned oil company PDVSA. In May 2010 the rig sank into the sea though all workers aboard at the time were saved., The Aban Pearl was a twin-hull column-stabilized semi-submersible offshore drilling rig owned and functioned by Aban Offshore drilling company. It is registered in Singapore. In 2009 the Aban Pearl became the first offshore gas rig operated by the Venezuela's state-owned oil company PDVSA. In May 2010 the rig sank into the sea though all workers aboard at the time were saved.,1.0
 American Tomahawk Company is a US-based company which manufactures modern tomahawks for use by the US Military. It was founded in 1966 by Peter LaGana to make tomahawks for the Vietnam War and folded in the 1970s. ATC was revived in early 2001 by Andy Prisco and LaGana shortly before LaGana's death. ATC makes tomahawks to this day primarily for the US Army., American Tomahawk Company is a US-based company which manufactures modern tomahawks for use by the US Military. It was founded in 1966 by Peter LaGana to make tomahawks for the Vietnam War and folded in the 1970s. ATC was invigorated in early 2001 by Andy Prisco and LaGana shortly before LaGana's death. ATC makes tomahawks to this day primarily for the US Army.,1.0
 María Elena González Calderón is a Puerto Rican attorney. She is the daughter of former Governor of Puerto Rico Sila Calderón and served as her First Lady along with her sister Sila María.María Elena González was born on February 6 1970 in New York City to Calderon and engineer Francisco Xavier González., María Elena Muñoz Calderón is a Puerto Rican attorney. She is the daughter of former Governor of Puerto Rico Sila Calderón and served as her First Lady along with her sister Sila María.María Elena González was born on February 6 1970 in New York City to Calderon and engineer Francisco Xavier González.,1.0
 Leporella is a genus of flowering plants from the orchid family Orchidaceae. The sole species is the Fringed Hare Orchid Leporella fimbriata which is found in the western half of Victoria and across southern South Australia to southern Western Australia.This orchid is a myrmecophyte and can only be pollinated by its winged male ant partner (Myrmecia urens Formicidae)., Leporella is a genus of flowering plants from the orchid family Orchidaceae. The sole species is the Fringed Hare Orchid Leporella fimbriata which is found in the western half of Victoria and across southern South Australia to southern Western Australia.Cette orchid is a myrmecophyte and can only be pollinated by its winged male ant partner (Myrmecia urens Formicidae).,1.0
 Dwight D. Eisenhower Middle School (EMS) is a middle school located in Wyckoff New Jersey as part of the Wyckoff School District. The school is named for late-President Dwight Eisenhower. As of 2013 the school principal is Chris Iasiello and the assistant principal is Patrick Lee.As of the 2013-14 school year the school had an enrollment of 771 students and 58.8 classroom teachers (on a full-time equivalent basis) for a student-teacher ratio of 15.0., Dwight D. Eisenhower Middle School (EMS) is a middle school located in Wyckoff New Jersey as part of the Wyckoff School District. The school is named for late-President Dwight Eisenhower. As of 2013 the school principal is Chris Iasiello and the helpers principal is Patrick Lee.As of the 2013-14 school year the school had an enrollment of 771 students and 58.8 classroom teachers (on a full-time equivalent basis) for a student-teacher ratio of 15.0.,1.0
 HMS Rochfort was a 74-gun third rate ship of the line of the Royal Navy launched on 6 August 1814 at Milford Haven. She was designed by the French émigré Jean-Louis Barrallier and was the only ship built to her draught.Rochfort was broken up in 1826., HMS Rochfort was a 74-gun third rate ship of the line of the Royal Navy launched on 6 August 1814 at Milford Haven. She was designed by the French émigré Jean-Louis Barrallier and was the only ship built to her draught.Rochfort was snapped up in 1826.,1.0
 The Simsbury Townhouse also known as Boy Scout Hall was built in 1839. It historically served as a city hall. It was listed on the National Register of Historic Places in 1993.The Simsbury Townhouse was the original town hall for the town of Simsbury used as a town hall for almost 100 years. It was originally built in 1839 at the top of the hill near its present location and moved possibly in 1843 and finally in 1869., The Simsbury Townhouse also known as Boy Scout Hall was built in 1839. It historically served as a city hall. It was listed on the National Register of Historic Places in 1993.The Simsbury Townhouse was the original town hall for the town of Simsbury used as a township hall for almost 100 years. It was originally built in 1839 at the top of the hill near its present location and moved possibly in 1843 and finally in 1869.,1.0
 Sir Anerood Jugnauth (Hindi: अनिरुद्ध जगन्नाथ born 29 March 1930) KCMG QC GCSK PC LLB GOLH GOP ORS is a Mauritian politician who was President of Mauritius from 2003 to 2012. Previously he was Prime Minister of Mauritius from 1982 to 1995 and again from 2000 to 2003. He is the patriarch of the Jugnauth Family of Mauritius.He served four consecutive terms as Prime Minister from 1982 to 1995 and was then voted out of office from 1995 to 2000., Sir Anerood Jugnauth (Hindi: अनिरुद्ध जगन्नाथ born 29 March 1930) KCMG QC GCSK PC LLB GOLH GOP ORS is a Mauritian politician who was Preside of Mauritius from 2003 to 2012. Previously he was Prime Minister of Mauritius from 1982 to 1995 and again from 2000 to 2003. He is the patriarch of the Jugnauth Family of Mauritius.He served four consecutive terms as Prime Minister from 1982 to 1995 and was then voted out of office from 1995 to 2000.,1.0
 Howard Francis Baker (March 1 1888 – January 16 1964) was a Major League Baseball third baseman who played for three seasons. He played for the Cleveland Naps in 1912 the Chicago White Sox from 1914 to 1915 and the New York Giants in 1915., Howard Francis Baker (March 1 1888 – January 16 1964) was a Major League Baseball third baseman who played for three seasons. He played for the Cleveland Naps in 1912 the Chicago White Sox from 1914 to 1915 and the New York Giants into 1915.,1.0
 Đevrske is a small village located in Kistanje municipality 10 km southwest of Kistanje in the continental part of Šibenik-Knin County Croatia. Two early Croatian graveyards have been found in the village area containing valuable archaeological finds such as earrings and rings as well as several stelae. Another important site is a late mediaeval cemetery with gables. In recent times another two mediaeval cemeteries have been discovered., Đevrske is a small village located in Kistanje municipality 10 km southwest of Kistanje in the continental part of Šibenik-Knin County Croatia. Two early Croatian graveyards have been found in the village area containing valuable archaeological finds such as earrings and rings as well as several stelae. Another important site is a late mediaeval cemetery with gables. In recent times latest two mediaeval cemeteries have been discovered.,1.0
 Hatunqucha (Quechua hatun (in Bolivia always jatun) big large qucha lake big lake hispanicized spelling Atuncocha) also known as Kulliqucha (Quechua kulli a color between blue and carmine (purple violet mulberry-colored) purple or violet lake hispanicized Cullicocha) is a lake in Peru located in the Ancash Region Huaylas Province Santa Cruz District. It is situated at a height of about 4625 metres (15174 ft) about 1.88 km long and 0.6 km at its widest point., Hatunqucha (Quechua hatun (in Bolivia always jatun) big large qucha lake big lake hispanicized spelling Atuncocha) apart known as Kulliqucha (Quechua kulli a color between blue and carmine (purple violet mulberry-colored) purple or violet lake hispanicized Cullicocha) is a lake in Peru located in the Ancash Region Huaylas Province Santa Cruz District. It is situated at a height of about 4625 metres (15174 ft) about 1.88 km long and 0.6 km at its widest point.,1.0
 The Rendezvous Society is a non-profit British charity organisation (UK Registered charity 293357). It aims to promote care for the environment and the development of inter-cultural ties through linking of schools and communities. The Rendezvous Society enables individuals and communities both in the county of Gloucestershire and beyond to learn about other people and cultures. For example through the friendship link with Kisumu (Kenya) or the twinning link with Sochi (Russia)., The Rendezvous Society is a non-profit British charity organisation (UK Registered charity 293357). It aims to promote care for the environment and the development of inter-cultural ties through linking of schools and communities. The Appointing Society enables individuals and communities both in the county of Gloucestershire and beyond to learn about other people and cultures. For example through the friendship link with Kisumu (Kenya) or the twinning link with Sochi (Russia).,1.0
 Fresno High School is a four-year secondary school located in Fresno California. Fresno High is the oldest high school in the Fresno metropolitan area and one of the few International Baccalaureate schools; in addition it continues to be the most populous and most diverse campus in Fresno.[citation needed] Dr. John Forbes is the 27th and current principal of Fresno High., Fresno High School is a four-year secondary school located in Fresno California. Fresno High is the oldest high school in the Fresno metropolitan area and one of the few International Baccalaureate schools; in addition it continues to be the most populous and most diverse campus in Fresno.[citation needed] Dr. John Forbes is the 27th and current principal of Modesto High.,1.0
 Big Spring is one of the largest springs in the United States and the world. An enormous first magnitude spring it rises at the base of a bluff on the west side of the Current River valley in the Missouri Ozarks., Big Spring is one of the largest springs in the United States and the world. An enormous first magnitude spring it rises at the base to a bluff on the west side of the Current River valley in the Missouri Ozarks.,1.0
 Prudencia Hidalgo Valencia Vd.ª De Laurel (born Prudencia Hidalgo y Valencia April 30 1889 – January 1 1960) was the wife of Philippine President José P. Laurel and the third First Lady of the Philippines and the only First Lady to serve under the Japanese-occupied Philippines during World War II.She held out both as first lady and mother to the nation during the dark days of the war. Mrs. Laurel refused to live in Malacañang and opted for their family home in Paco Manila. Like Mrs., Prudencia Hidalgo Valencia Vd.ª De Laurel (born Prudencia Hidalgo y Valencia April 30 1889 – January 1 1960) was the wife of Philippine President José P. Laurel and the third First Lady of the Philippines and the only First Lady to serve under the Japanese-occupied Philippines during World War II.She held out both as first lady and mother to the nation during the dark days of the war. Mrs. Laurel repudiate to live in Malacañang and opted for their family home in Paco Manila. Like Mrs.,1.0
 The Historic Anderson House Hotel is a hotel in Wabasha Minnesota United States listed on the National Register of Historic Places. The hotel opened in 1856 and was Minnesota's oldest continuously operating bed and breakfast inn west of the Mississippi River. Most of the furniture dates back to 1856 as well.The hotel was built by B.F. Hurd in 1856 and was known as the Hurd House until 1909. Hurd's son-in-law became owner of the hotel in 1885 and added a third story and a west wing., The Historic Anderson House Hotel is a hotel in Wabasha Minnesota United States listed on the National Register of Historic Places. The hotel opened in 1856 and was Minnesota's oldest continuously operating bed and breakfast inn west of the Mississippi River. Most of the furniture dates back to 1856 as well.The hotel was constructs by B.F. Hurd in 1856 and was known as the Hurd House until 1909. Hurd's son-in-law became owner of the hotel in 1885 and added a third story and a west wing.,1.0
 SS Mission San Jose was a Type T2-SE-A2 tanker built for the United States Maritime Commission during World War II. After the war she was acquired by the United States Navy as USS Mission San Jose. Later the tanker transferred to the Military Sea Transportation Service as USNS Mission San Jose. She was a member of the Mission Buenaventura-class oiler and was named for Mission San José located in Fremont California., SS Mission San Jose was a Type T2-SE-A2 tanker built for the United States Maritime Commission during World War II. After the war she was acquired by the United States Navy as USS Mission San Jose. Later the tanker transferred to the Military Sea Transportation Service as USNS Mission San Jose. She was a lawmakers of the Mission Buenaventura-class oiler and was named for Mission San José located in Fremont California.,1.0
 Yakutsk School Number 16 (Russian: Якутская городская школа №16) is a state-run school in Yakutsk Sakha Republic. It was set up in the 1940s. As of 2005 it had roughly 700 students. It is a UNESCO Associated School. The principal is Aleksandr Dubinin who has worked in the school for fourteen years; his wife Roza Hanbeevna Dubinina is also a teacher there., Yakutsk School Number 16 (Russian: Якутская городская школа №16) is a state-run school in Yakutsk Sakha Republic. It was set up in the 1940s. As of 2005 it had roughly 700 students. It is une UNESCO Associated School. The principal is Aleksandr Dubinin who has worked in the school for fourteen years; his wife Roza Hanbeevna Dubinina is also a teacher there.,1.0
 Bob Coffin (born on 7 October 1942 in Anaheim California) is a Las Vegas city councilman representing the city's east side in Ward 3. He was previously a Democratic member of the Nevada Senate representing Clark County District 10 (map) from 1987-2011. Previously he was a member of the Nevada Assembly from 1983 through 1985. Mr. Coffin is half Mexican American., Bob Coffin (born on 7 October 1942 in Anaheim California) is a Las Vegas city councilman representing the city's east side in Ward 3. He was previously a Democratic member of the Nevada Senate representing Clark County District 10 (map) from 1987-2011. Anterior he was a member of the Nevada Assembly from 1983 through 1985. Mr. Coffin is half Mexican American.,1.0
 Elachista vulcana is a moth of the Elachistidae family. It is found in Spain and Morocco.The wingspan is 12-12.5 mm for males and 14 mm for females. The forewing ground colour is unicolorous yellowish white with concolorous fringe scales. The basal third of the costa is narrowly grey. The hindwings are grey above with paler yellowish grey fringe scales. The underside of both wings is dark grey with yellowish white fringe scales., Elachista vulcana is a moth of the Elachistidae family. It is found in Spain and Morocco.The wingspan is 12-12.5 mm for males and 14 mm for females. The forewing ground colour is unicolorous yellowish white with concolorous fringe scales. The basal third of the costa is narrowly grey. The hindwings are grey above with paler yellowish grey fringe scales. The stomach of both wings is dark grey with yellowish white fringe scales.,1.0
 Prosopis pallida is a species of mesquite tree. It has the common names kiawe huarango and American carob as well as bayahonda (a generic term for Prosopis) and algarrobo blanco (usually used for Prosopis alba). It is a thorny legume native to Colombia Ecuador and Peru particularly drier areas near the coast., Prosopis pallida is a species of mesquite tree. It has the common names kiawe huarango and American carob as well as bayahonda (a generic term for Prosopis) and algarrobo blanco (usually used for Prosopis alba). It is a barbed legume native to Colombia Ecuador and Peru particularly drier areas near the coast.,1.0
 Connie Eaton (March 1 1950 - September 30 1999) was a country music singer. Eaton was a native of Nashville Tennessee and began her recording career as a teenager in the late 1960s recording for Chart Records. Chart was the label that established Lynn Anderson as a major country singer and Eaton was considered by the country music press as the label's next Anderson. Prior to beginning her recording career Eaton had been a runnerup in a Miss Nashville beauty contest., Connie Eaton (March 1 1950 - September 30 1999) was a country music singer. Eaton was a native of Nashville Tennessee and began her recording career as a teenager in the late 1960s recording for Chart Records. Cartes was the label that established Lynn Anderson as a major country singer and Eaton was considered by the country music press as the label's next Anderson. Prior to beginning her recording career Eaton had been a runnerup in a Miss Nashville beauty contest.,1.0
 Ernest Cimon (March 30 1848 – July 17 1917) was a Quebec lawyer judge and political figure. He represented Chicoutimi—Saguenay in the Canadian House of Commons as a Conservative member from 1874 to 1882. His name also appears as Marie Honorius Ernest Cimon.He was born at Murray Bay Canada East in 1848 the son of notary Cléophe Cimon who represented Charlevoix in the legislative assembly for the Province of Canada., Ernest Cimon (March 30 1848 – July 17 1917) was a Quebec lawyer judge and political figure. He represented Chicoutimi—Saguenay in the Canadian House of Commons as a Conservative member from 1874 to 1882. His name apart appears as Marie Honorius Ernest Cimon.He was born at Murray Bay Canada East in 1848 the son of notary Cléophe Cimon who represented Charlevoix in the legislative assembly for the Province of Canada.,1.0
 Mohamed Morsi (Arabic: محمد محمد مرسى عيسى العياط‎ ALA-LC: Muḥammad Muḥammad Mursī ‘Īsá al-‘Ayyāṭ IPA: [mæˈħæmmæd mæˈħæmmæd ˈmoɾsi ˈʕiːsæ (ʔe)l.ʕɑjˈjɑːtˤ]; born 8 August 1951) is an Egyptian politician who served as the fifth president of Egypt from 30 June 2012 to 3 July 2013 when he was removed by Field Marshal Abdel Fattah el-Sisi after June 2013 Egyptian protests and 2013 Egyptian coup d'état. He was the first democratically elected head of state in Egyptian history., Mohamed Morsi (Arabic: محمد محمد مرسى عيسى العياط‎ ALA-LC: Muḥammad Muḥammad Mursī ‘Īsá al-‘Ayyāṭ IPA: [mæˈħæmmæd mæˈħæmmæd ˈmoɾsi ˈʕiːsæ (ʔe)l.ʕɑjˈjɑːtˤ]; born 8 August 1951) is an Egyptian politician who served as the fifth president of Egypt from 30 June 2012 to 3 July 2013 when he was removed by Field Marshal Abdel Fattah el-Sisi after June 2013 Egyptian protests and 2013 Egyptian coup d'état. He was the first democracies elected head of state in Egyptian history.,1.0
 The United Aircraft Corporation was an American aircraft manufacturer formed in 1934 at the break-up of United Aircraft and Transport Corporation. In 1975 the company became the United Technologies Corporation., The United Aircraft Corporation was an American aircraft manufacturer formed in 1934 at the break-up of United Aircraft and Transport Corporation. In 1975 the company came the United Technologies Corporation.,1.0
