original,paraphrase,sim,jaccard,edit_dist
A woman in a room with a cat.,A woman with a cat in a room.,0.9909527897834778,0.5,14.0
Two chefs in a restaurant kitchen preparing food.,Two chefs prepare food in a restaurant kitchen.,0.9765183925628662,0.4545454545454545,28.0
"A kitchen with a stove, microwave and refrigerator.","A kitchen with a refrigerator, microwave, and a stove.",0.983005166053772,0.4,23.0
Multiple wooden spoons are shown on a table top.,"On a table top, several wooden spoons are shown.",0.9752086997032166,0.5,34.0
A large boat filled with mean on wheels.,A large boat with wheels filled with mean.,0.989825963973999,0.5,22.0
A toilet and a sink in small bathroom.,In small bathroom there is a toilet and a sink.,0.9321063756942748,0.4545454545454545,37.0
A view of a very large bathroom with mirrored walls.,A very large bathroom with mirrors.,0.8743957281112671,0.5,17.0
There are two sinks next to two mirrors.,There are two sinks in front of two mirrors.,0.9742398262023926,0.5,8.0
A man takes a picture in the bathroom mirror,A man takes pictures of himself in the bathroom mirror.,0.9034000635147096,0.5,15.0
A white toilet and a sink in a room.,In a room there is a white toilet and a sink.,0.9677117466926576,0.4545454545454545,30.0
A bathroom sink shapped like a glass bowl.,"A bathroom sink shapped like a glass bowl, according to the manufacturer.",0.949784219264984,0.5,31.0
"A door opens to a bare, white bathroom.",A door opens to a bare white bathroom room.,0.938502073287964,0.5,6.0
A clean bathroom is seen in this image.,In this image a clean bathroom can be seen.,0.9689666032791138,0.4166666666666667,32.0
A bathroom sink sitting under a large mirror.,Under a large mirror is a bathroom sink.,0.9422845840454102,0.4,36.0
A white urinal mounted to a bathroom wall.,A white urinal mounted on the wall of a bathroom.,0.9825172424316406,0.3333333333333333,17.0
A large jetliner flying over a traffic filled street.,A large jetliner flying over a busy New York City street.,0.8876612186431885,0.5,17.0
a little kid riding a skateboard at a park,A child riding a skateboard at a park.,0.931259036064148,0.4444444444444444,10.0
A person on a street next to a motor bike.,A person on a road next to a motorcycle.,0.8373346924781799,0.5,9.0
An older building with birds flying near it.,"An older building, with birds flying near.",0.9945371747016908,0.5,4.0
some horses grazing in front of a church,Some horses grazing on the side of a church.,0.9594714641571044,0.4166666666666667,11.0
a toilet on the ground outdoors in front of a house,A toilet on the ground outside of a house.,0.9663281440734864,0.5,14.0
Horses graze in front of a large building amid snow.,Horses grazing behind a large building amid snow.,0.9440689086914062,0.5,11.0
Black and white photograph of two men on motorcycles.,Two men riding motorcycles in black and white.,0.8330519795417786,0.3076923076923077,41.0
Two rows of various makes of parked motorcycles.,Two rows of various motorcycles of parked.,0.947249948978424,0.4444444444444444,20.0
A row of motorcycles parked in front of a building.,"In front of a building, a row of motorcycles.",0.9049611687660216,0.5,38.0
Office space with office equipment on desk top.,Office space with office equipment on top of a desk.,0.9859999418258668,0.4545454545454545,12.0
A close-up of a one-way street with many cars and motorcycles.,A close-up of a one way street with many motorcycles and cars.,0.9884217977523804,0.5,19.0
A group of men riding motorcycle down a country road.,A group of men riding motorcycles along a country road in the dark.,0.8026741743087769,0.4,17.0
a person riding a motorcycle on an enclosed road,A person riding a motorcycle on a closed road.,0.8396941423416138,0.5,5.0
Grey bird in a wooden basket eating bread.,Grey bird eating bread in wooden basket.,0.9810789823532104,0.5,24.0
A motorbike sitting in front of a wine display case,A motorbike sitting next to a wine display case.,0.9690497517585754,0.4166666666666667,9.0
A dog watches an animal on the television.,"On television, a dog watches an animal.",0.9767556190490724,0.5,33.0
A four engine jet transport airplane flying low.,A four-engine jet transport aircraft flying low.,0.9721769094467164,0.5,5.0
a large air plane is parked out on a grass field,A large aircraft is parked on a grass field.,0.924599826335907,0.5,11.0
A man sitting on a large bench talking on a cell phone.,A man sitting on a large bench talking on a cell phone appeared to be in high spirits.,0.8708774447441101,0.5,31.0
a giraffe walking through trees on a sunny day,"On a sunny day, a giraffe walks through trees.",0.9803069829940796,0.4545454545454545,34.0
The snow covered mountain looks over the small city.,The snow-covered mountain looks over the small town.,0.9087840914726256,0.5,5.0
A giraffe standing in the grass near a tree.,A giraffe sitting near a tree in the grass.,0.872079074382782,0.4545454545454545,24.0
A couple of traffic lights sitting under a cloudy sky.,A couple of traffic lights sat under a cloudy sky in the afternoon.,0.9297848343849182,0.5,22.0
A yellow school bus with a creepy eye shaped rear view mirror.,A yellow school bus with a rear view mirror that looks like a baby's eye.,0.9233465194702148,0.4117647058823529,36.0
A large point tower towering over a traffic light.,A large point tower taller than a traffic light tower.,0.8871918320655823,0.4166666666666667,16.0
A giraffe standing next to a covered structure.,A giraffe on a covered structure.,0.9130458831787108,0.5,15.0
