original,paraphrase,sim,jaccard,edit_dist
Got a letter in the mail last week that said Dr. Goldberg is moving to Arizona to take a new position there in June.,"This is a good thing, but I'm afraid this is not the first time Dr. Goldberg has moved to Arizona.",0.8451040983200073,0.1818181818181818,88.0
Top notch doctor in a top notch practice.,A great doctor at a top notch clinic.,0.8370382785797119,0.4444444444444444,16.0
Dr. Eric Goldberg is a fantastic doctor who has correctly diagnosed every issue that my wife and I have had.,"Great Doctor, Dr. Eric Goldberg, I am very happy to have seen him.",0.752071738243103,0.1379310344827586,79.0
Wing sauce is like water.,You can drink wing sauce from a bottle.,0.7757737636566162,0.1818181818181818,27.0
"After waiting for almost 30 minutes to trade in an old phone part of the buy back program, our customer service rep incorrectly processed the transaction.","The phone had just been returned, but our rep still did not process the trade-in.",0.7567275762557983,0.1142857142857142,103.0
Can't miss stop for the best Fish Sandwich in Pittsburgh.,This place is always the best in Pittsburgh. I've been here about once now and love it. I highly recommend the fish sandwich.,0.789955735206604,0.1851851851851851,97.0
"Old school.....traditional \""mom 'n pop\"" quality and perfection.","Old school.....traditional ""mom 'n pop"" quality and perfection.",0.9378352165222168,0.6,2.0
Good beer selection.,"Good selection of beers on tap, as well as tasty food.",0.7812437415122986,0.0833333333333333,38.0
I will start by saying we have a nice new deck.,We have a new deck and I'm pretty sure we have it.,0.7614169120788574,0.2352941176470588,39.0
Rocky's has been in business since the 1980s and still going strong.,Rocky's is a fast food chain that has been in business for the last 20 years.,0.7636632323265076,0.2727272727272727,54.0
"If you want a true understanding of Pittsburgh in the morning, come here.",A real understanding of Pittsburgh.,0.8706276416778564,0.2,42.0
I miss this place.,I miss the place so much.,0.8510580062866211,0.25,10.0
Tonya is super sweet and the front desk people are very helpful,Tonya was super sweet and the front desk people were very helpful. Tonya and her friends were very excited. The room was spacious and clean.,0.8388508558273315,0.4285714285714285,79.0
3/6/12  visit -  i am from san francisco bay area and if u want a dive go to china town in san francisco.,i want a dive go to China town in san francisco.,0.8305784463882446,0.5,58.0
I agree with Paul on this one.,I agree with Paul. The people need to change.,0.7539923787117004,0.2307692307692307,20.0
"In all fairness - I did not see this dentist but did schedule an appointment and waited 15 minutes for them to open.\n\nWhen I look at Yelp reviews, I usually weed out the outliers (the best and the worst).",I did not see this dentist but did schedule an appointment and waited 15 minutes for it to open. I also noticed the dentist was a little slow.,0.7880507111549377,0.4047619047619047,88.0
I've been to this office a good amount of times.,I have been to this office a lot. I've been to the office til recently.,0.9184508323669434,0.375,33.0
"Yay, I'm a fan of the white pizza.",Ahhhhh I love white pizza.,0.900071382522583,0.1818181818181818,17.0
Terrible service...terrible food...this place smells like rotten wet wood,Terrible service...terrible food...this place smells like rotten wet wood...,0.9910356402397156,0.8,3.0
Papa J's is expensive and inconsistent.,Papa J's is expensive and inconsistent. I had the cheese pizza and it was ok.,0.8767989873886108,0.4285714285714285,38.0
"Finally, great Tuscan-style Italian food in Pittsburgh, not that tasteless stuff that locals think is Italian.\n\nThe bread was warm and fresh.","Great food, not that tasteless stuff that locals think is Italian.",0.7605699300765991,0.3636363636363636,78.0
I've decided where I stand with Emmert Dental.,I am very excited about this new partnership. Emmert Dental has become one of my favorite dentists in the UK.,0.7632778882980347,0.0769230769230769,80.0
The worst dental office I ever been.,The worst dentist I ever saw.,0.7598965167999268,0.4444444444444444,12.0
Eat at your own risk.,Eating at your own risk isn't good.,0.8635175824165344,0.3333333333333333,14.0
This McDonald's is so bad it's amazing.,It is the worst McDonald's I have ever been to.,0.8469758033752441,0.1333333333333333,32.0
They burned my fish and they burned it bad.,The fish was so hot it burned it.,0.7532114386558533,0.25,24.0
This Starbucks is teeny-tiny!\n\nSeating inside is VERY limited.,This Starbucks is teeny tiny!,0.8549054265022278,0.3333333333333333,36.0
"As far as Starbucks go, this is a pretty nice one.",It's the best Starbucks you'll ever get!,0.7933725118637085,0.0625,34.0
Rather typical SnS.,The design is rather typical SnS.,0.8055024743080139,0.5,15.0
"Ah, Steak n Shake, you hit the spot after a night of drinking.",A steak n shake is a good alternative to a beer.,0.7616533041000366,0.1578947368421052,34.0
The only thing worse than the food is the service.,The food is good but the service is terrible.,0.8485540747642517,0.25,30.0
I love Steak N Shake.,I'm not a steak n shake hater.,0.7655081152915955,0.2,15.0
"As far as I'm concerned, Filene's Basement is good for two things: cheap dresses and cheap accessories.\r\n\r\nAs a young performer, I need good-looking dresses for frequent auditions -- and I need a couple, so I'm not wearing the same thing every time.",Filene's Basement is good for two things: cheap dresses and cheap accessories.,0.7976666688919067,0.2941176470588235,175.0
Another store which has gone the way of the Dodo bird.,"A store where dodos can walk is the Dodo,",0.7522421479225159,0.1176470588235294,29.0
What a great time!,We had a great time!,0.7769656181335449,0.5,3.0
He was incredibly sexist/homophobic.,He was incredibly sexist and homophobic.,0.9903928637504578,0.4285714285714285,5.0
Your typical area big box hardware store.,I used to be a big box hardware store.,0.8566222190856934,0.3333333333333333,14.0
This local Lowe's serves its purpose for my husband and me -- a convenient home improvement store that we run into every month or two.,I recommend Lowe's for all your home improvement needs.,0.8133158683776855,0.1333333333333333,98.0
Waterfront Lowe's beats Monroeville Lowe's for lawn and garden.,"Lowe's of Monroeville, Indiana, is the best for landscaping and lawn and garden care.",0.7992753386497498,0.2352941176470588,56.0
"The food here can actually be a little hit and miss, but I love the grilled cheese club with fries.",I love the grilled cheese club and grilled tomato with fries!,0.8757824897766113,0.3809523809523809,64.0
I've been to Duke's three times now.,I have been to Duke's three times.,0.9892936944961548,0.4,7.0
"This was actually the first time I've ever been to a Dave and Buster's.\n\nWalking into such a huge space, especially coming from the often narrow venues in San Francisco was strange.\n\nUn-nerving actually.","I had high hopes for this place, because I really liked Dave and Buster's.",0.7759653329849243,0.0769230769230769,165.0
The food was absolutely gross!,Very disgusting. Food was very greasy.,0.7824249863624573,0.25,29.0
Dave and busters is the best place to eat and play games.,Dave & Busters is one of the best,0.7506896257400513,0.3571428571428571,33.0
I was here on 10/3 and I have to say this was a horrible experience.,I was here on 10/3 and it was horrible. My waitress was rude and she was not very knowledgeable.,0.7591049075126648,0.2727272727272727,52.0
"First off, let me say that I find the people who usually work at Dave and busters usually don't care or seem to be angry and hate their job.",The people who work at Dave and Busters have a great deal of respect for them.,0.7921826839447021,0.2285714285714285,86.0
Rock Bottom Brewery in Homestead is always a good time.,Rock Bottom Brewery in Homestead is always a good time! We are always happy to have a beer from this brewery.,0.9320127367973328,0.45,54.0
"Horrible beer, horrible service, horrible menu","Horrible service, horrible menu, horrible service.",0.8241674900054932,0.3333333333333333,19.0
"I must admit, I do like the brews.",I haven't tried the brews yet.,0.7667754888534546,0.1818181818181818,22.0
