original,paraphrase,sim,jaccard,edit_dist
Been going to Dr. Goldberg for over 10 years.,Been going for over 10 years with Dr. Goldberg.,0.9559324979782104,0.5,28.0
Got a letter in the mail last week that said Dr. Goldberg is moving to Arizona to take a new position there in June.,Goldberg is moving to Arizona in June to take a new position.,0.8600623607635498,0.391304347826087,71.0
Top notch doctor in a top notch practice.,Top-noted doctor in top-tier practice.,0.8788156509399414,0.375,11.0
Wing sauce is like water.,Wing sauce is water like.,0.9880585670471193,0.4285714285714285,8.0
Can't miss stop for the best Fish Sandwich in Pittsburgh.,Where is the best place to buy fish sandwich in Pittsburgh?,0.7755277752876282,0.3125,25.0
"Old school.....traditional \""mom 'n pop\"" quality and perfection.",Old school... traditional '' mom 'n pop '' quality and perfection.,0.9529387950897216,0.3846153846153846,8.0
Good fish sandwich.,What makes a good fish sandwich?,0.8084427118301392,0.2857142857142857,15.0
Good beer selection.,What is a good beer selection?,0.8550493717193604,0.2857142857142857,12.0
I heart King's.,"I heart King '', King.",0.8134844899177551,0.3333333333333333,8.0
"If you want a true understanding of Pittsburgh in the morning, come here.","If you want to understand Pittsburgh, come here.",0.9145331382751464,0.3125,26.0
I miss this place.,I miss this place so much.,0.9156668186187744,0.4285714285714285,8.0
Love this place.,Love this place so much,0.844784140586853,0.3333333333333333,8.0
"OK, what is with all of these \""CASH ONLY\"" places in Pittsburgh?","OK, what are some of the best cash only places in Pittsburgh?",0.814063549041748,0.3333333333333333,26.0
"Great breakfast, good price.","Great breakfast price, good price.",0.9713413715362548,0.5,6.0
I always love a good diner.,Diners always make a good diner.,0.8913900852203369,0.5,9.0
Great little place.,Great little place to visit.,0.8771779537200928,0.3333333333333333,9.0
"My first time going to Barb's Country Junction and I really wanted to like this place, I really did...however, I didn't.\n\nThe food was decent, some was above average and some below but it was overall decent.","My first time going to Barb's Country Junction and I really wanted to like this place, I really did...however, I didn't.",0.8726267218589783,0.5517241379310345,89.0
"If I could give this place less than one star, I would.","If you could give this place less than one star, what would it be and why?",0.8175452947616577,0.5,22.0
Best Irish food in the Burgh.,What are some of the best Irish restaurants in Burgh?,0.8500357270240784,0.3333333333333333,36.0
"The delivery driver mistakenly rang my doorbell, having confused 133 and 113.\n\nRather than taking a step back and analyzing the situation, he begins to accuse my wife and I of ordering and refusing to pay for this pizza.\n\nThe driver then gets on his cell phone and rather than calling the number than was given when the order was placed, begins to call his bosses and starts threatening me with felony charges.","The delivery driver mistakenly rang my doorbell, having confused 133 and 113. He begins to call his bosses and starts threatening me with felony charges.",0.8888562321662903,0.4181818181818181,262.0
Some of the worst pizza I've ever had.,What is the worst pizza you've ever eaten?,0.8993371725082397,0.3333333333333333,14.0
I needed alterations done to my suit very quickly.,I needed very quick changes to my suit.,0.8944846391677856,0.4166666666666667,28.0
Are you are really looking at the review for LJS?,What is your review of LJS?,0.8444229960441589,0.1538461538461538,31.0
I agree with Paul on this one.,Paul agrees with me on this.,0.9260907769203186,0.3,13.0
Far away from real Chinese food.,What is far away from Chinese food?,0.9000280499458313,0.4444444444444444,15.0
I used to order takeout here once every month or so.,I used to order takeout here once in a while.,0.9217913150787354,0.5,15.0
We went on a weeknight.,"On a weeknight, we went.",0.9525085687637328,0.4285714285714285,18.0
This location never disappoints!!,This location has never disappointed!,0.8511578440666199,0.5,6.0
I belong to this gym...,I belong to a gym...,0.951748549938202,0.6666666666666666,4.0
Terrible service.,What is your review of Terrible Service?,0.7664140462875366,0.125,25.0
"Yay, I'm a fan of the white pizza.",I like white pizza. Why?,0.8105159401893616,0.1818181818181818,23.0
Great little gem!,What is a great little gem!,0.8304060697555542,0.5,11.0
Coming here you get the feeling they haven't changed much.,You get the feeling that they haven't changed.,0.779416561126709,0.5,23.0
Terrible service...terrible food...this place smells like rotten wet wood,Terrible service...terrible food...this place smells like rotten wet wood.,0.9948766827583312,0.8,1.0
Papa J's is expensive and inconsistent.,"Papa J's is expensive, inconsistent and expensive.",0.9937413930892944,0.4444444444444444,18.0
I was pleasantly surprised by this restaurant.,I was pleasantly surprised by the restaurant here.,0.977709174156189,0.5,7.0
Absolutely Awful Service.,What is absolutely awful service?,0.8388858437538147,0.3333333333333333,12.0
I love this place!,I love this place so much!,0.916284203529358,0.4285714285714285,8.0
It was just what we were looking for.,"It was exactly what we were looking for, he said.",0.7536309957504272,0.5,15.0
Some of the best chow around--love this place.,Some of the best Chow around -- love this place,0.9849538207054138,0.5,4.0
I've decided where I stand with Emmert Dental.,I've decided on Emmert dental.,0.948999285697937,0.4444444444444444,18.0
THE WORST DENTAL EXPERIENCE OF MY LIFE.,What is the worst dental experience you have ever had?,0.9079208970069884,0.3076923076923077,48.0
The worst dental office I ever been.,What is the worst dentist office you have ever been to?,0.9147628545761108,0.2857142857142857,24.0
Eat at your own risk.,"At your own risk, eat.",0.9525035619735718,0.4285714285714285,10.0
My expectations for McDonalds are t rarely high.,My expectations for McDonald's are not high.,0.9380346536636353,0.5,9.0
"If there was ever a \""get your coffee and go\"" Starbucks, this is it.","If there was a Starbucks where you could get your coffee and go, this is it.",0.8873099088668823,0.5,36.0
This Starbucks is teeny-tiny!\n\nSeating inside is VERY limited.,This Starbucks is teeny tiny!\n\nSeating inside is very limited!,0.9942804574966432,0.5,6.0
"As far as Starbucks go, this is a pretty nice one.","As far as Starbucks goes, this one is pretty nice.",0.9664816856384276,0.4615384615384615,11.0
This Starbucks is 5-Star Friendly.,This Starbucks is rated 5-star.,0.9268003702163696,0.4285714285714285,13.0
This is the absolute WORST Steak N Shake I've ever been to.,What is the worst Steak N Shake experience you have ever had?,0.8475382924079895,0.4117647058823529,37.0
"Well... as Steak 'n Shake locations go, this isn't the best one around--but it is burgers and fries that are open 24-7.\n\nThe milkshakes are good!\n\nPROS: \nAlways made fresh, when you order;\n\nCONS:\nGreasy (but its burgers);\nTakes longer than typical in drive thru (but that's bc they're made fresh!","As Steak 'n Shake locations go, this isn't the best one around -- but it is always made fresh!",0.7760255932807922,0.3191489361702128,215.0
Terrible wait staff  couldn't even seat us.,Why is the wait staff so terrible?,0.7542213797569275,0.1666666666666666,27.0
I really like the chili.,Why do I like chili?,0.7583131194114685,0.25,13.0
Fast food in a resturant setting.,What is fast food in a restaurant setting?,0.8501172661781311,0.4,11.0
The food is good.,"The food is good, too.",0.9002856016159058,0.5,5.0
"Food is good, what you'd expect from Steak n Shake.",What is the food at Steak n Shake?,0.7846343517303467,0.3846153846153846,27.0
The service was fast but the food was terrible and so was the service.,"The service was fast, but the food was terrible, and the service was terrible.",0.965686023235321,0.4615384615384615,18.0
Burgers are not the best quality.,Not the best quality Burgers.,0.936293125152588,0.375,21.0
I love Steak N Shake.,What is your review of Steak N Shake?,0.7882888913154602,0.1818181818181818,19.0
Love this store!,Love this store so much!,0.9551451802253724,0.3333333333333333,8.0
Another store which has gone the way of the Dodo bird.,Another store has gone the Dodo bird's way.,0.9690543413162231,0.5,23.0
$9.75 for a red bull and vodka?,What is the price of Red Bull and Vodka?,0.8671563267707825,0.3333333333333333,20.0
Had a great time at Sing Sing a while ago with friends.,Had a lot of fun at Sing Sing with friends a while ago.,0.9347456693649292,0.4,31.0
"In my opinion, Sing Sing is really not worth it.",Is Sing Sing really worth it?,0.9106356501579284,0.4,21.0
Went here for the first time this past weekend.,Went here last weekend for the first time.,0.9717535972595216,0.4166666666666667,27.0
I went here with a bachelorette party.,I went to a bachelorette party here.,0.9713015556335448,0.4,13.0
He was incredibly sexist/homophobic.,He was incredibly sexist and homophobic.,0.9903928637504578,0.4285714285714285,5.0
Your typical area big box hardware store.,What is your typical neighborhood big box hardware store?,0.8920018672943115,0.4545454545454545,21.0
This place is overrated.,"This place is overrated, he said.",0.8358012437820435,0.4285714285714285,9.0
I've been to Duke's three times now.,I have been to Duke three times now.,0.9751014709472656,0.5,5.0
"Not much of a review for this one, but just a few tidbits of info...\n\nPool (on Friday/Saturday) is $14 per hour\n(I'm pretty sure its $10 through the week)\n\nMixed drinks are way too pricey for the location.\nThe food is crap.\n\nThe games are fun and the pool tables are nice (they're the big tournament style/size, not the shitty bar-room, tiny pool tables).\n\nThat is all.","Not much of a review for this one, but just a few tidbits of info...\n\n Pool (on Friday/Saturday) is $14 per hour\n(I'm pretty sure its $10 through the week)Mixed drinks are way too pricey for the location.",0.8582196831703186,0.5769230769230769,174.0
When did Dave and Buster's become a daycare??,How did Dave and Buster become a daycare?,0.9535928964614868,0.4545454545454545,7.0
"Chuckie Cheese for grown ups...Yeah, that could sum up my review for sure (but I'll try to make it a bit more interesting than that).\n\nFirst let me say that this isn't my first trip to a Dave & Buster's.","Chuckie Cheese for grown ups...Yeah, that could sum up my review for sure (but I'll try to make it a bit more interesting than that).",0.8704056143760681,0.6571428571428571,72.0
"Visited the Dave and Busters in Homestead, PA last night.","Last night, Dave and Busters visited Homestead, PA.",0.9268810749053956,0.5,26.0
"Horrible beer, horrible service, horrible menu","Horrible beer, terrible service, horrible menu.",0.9787477254867554,0.5,3.0
"Lately, the Rock Bottom is hit or miss.",Rock Bottom lately has been hit or miss.,0.9351359605789183,0.4545454545454545,25.0
Went with a group after work for dinner and a brew.,"After work, we went for dinner and a brew with a group.",0.9552497863769532,0.5,34.0
Slow service\nBelow average food \nIll pass,"Slow service, below average food, pass",0.7931464910507202,0.3333333333333333,9.0
Its not bad.,"Its not bad, its good.",0.891371488571167,0.4,10.0
Another good meal ... this time the Housemade Meatloaf.,"Another good meal, this time the house made meatloaf.",0.9607936143875122,0.5,7.0
Poor service and food.,Service and food: Poor service.,0.8905854821205139,0.5,20.0
Good food and large portions.,What is good food and large portions?,0.8549885749816895,0.5,10.0
"This is  a \""Okay\"" place to eat.",This is an `` okay '' place to eat.,0.9316716194152832,0.4545454545454545,9.0
Good club for a good laugh.,Which is the best club for a good laugh?,0.7786223888397217,0.4,18.0
Came here to see Charlie Murphy.,Charlie Murphy came here to see.,0.9549342393875122,0.5,23.0
"The Pittsburgh Improv is unfortunately another great idea hamstrung by the details of mediocre execution (some specific examples at the end).\n\nThe setup is nice, a delightful--if a bit sterile--reproduction of what you'd think a comedy club should like if you watch enough TV.",The Pittsburgh Improv is unfortunately another great idea hamstrung by the details of mediocre execution (some specific examples at the end).,0.8444626331329346,0.4736842105263157,137.0
So...we got here and seated by 635pm.,So...we got here and were seated by 635 PM.,0.9639351963996888,0.6,8.0
This is easily one of the best Giant Eagles I've ever been to.,This is easily the best Giant Eagle I have ever seen.,0.8626904487609863,0.4117647058823529,15.0
"Barnes & Noble, it's like the Wal-Mart of bookstores.",Barnes & Noble is like the Wal-Mart of books.,0.8849660158157349,0.5,8.0
I have to agree with Matthew U on this one.,I agree with Matthew U.,0.9089045524597168,0.3636363636363636,20.0
"Nice venue,  good food, great beer, awful service.","Great food, great beer, awful service, nice place to eat.",0.8691920042037964,0.4166666666666667,35.0
"Service has always been good and the food consistent, we usually come for happy hour when apps are half off and there's some great deals on drinks as well.\n\nThings that stand out to me: veggie wrap, fried zucchini, hummus tabuleh and tzatziki platter, and house salad with ranch (their ranch is so good I could eat it with a spoon)","Service has always been good and the food consistent, we usually come for happy hour when apps are half off and there's some great deals on drinks as well.",0.812038004398346,0.4909090909090909,178.0
The absolute worst service I have ever had at any bar or restaraunt.,What is the worst service you've ever had at a bar?,0.900903582572937,0.3333333333333333,30.0
"I've eaten just once, mostly I go for drinks.",I've only eaten once and mostly go for drinks.,0.9717947840690612,0.5,15.0
$1 burger night on Tuesday.,"On Tuesday, there will be a $1 burger night.",0.945570707321167,0.2727272727272727,33.0
"Servers are chatting, not paying attention to tables.",Servers are chatting and not paying attention to the table.,0.9666375517845154,0.5,9.0
The food was okay.,"The food was good, but not great.",0.8086258172988892,0.375,17.0
