text,adv_text,minimal_k
"Why A&M hasn't released this on cd yet I have no idea. Any true Headeast fan knows this was the band when they where in their prime and this album shows it. It has all th great Headeast songs in here, and th group was just cookin on this tour. Their label has released a couple of live cds , but nothing matches this lp.""Wake up A&M and release this on cd.","Why A&M hasn't released this on cd yet I have no idea. Any true Headeast fan knows this was the band when they where in their prime and this album shows it. It has all th great Headeast songs in here, and th group was just cookin on this tour. Their label has released a couple of live cds , but nothing matches this lp.""Aftermath up A&M y released this sobre cd.",4.0
"I bought this watch a couple weeks ago and it's great. I brought it to a certified Tag jeweler and they took out a couple links for me and confirmed it's authenticity. I would be weary of buying this from one of the ""stores"" on Amazon, and just buy directly from Amazon. Amazon offers a 2 year warranty as well, which is nice. The watch looks great with any outfit. I highly recommend it.","I bought this watch a couple weeks ago and it's overwhelming. I brought it to a certified Tag jeweler and they took out a couple links for me and confirmed it's authenticity. I would be weary of buying this from one of the ""stores"" on Amazon, and just buy directly from Amazon. Amazon offers a 2 year warranty as good, which is nice. The watch looks overwhelming with any outfit. I highly recommended it.",4.0
"This was purchased for a friends' birthday and I personally have not played it. Those who have, say it's very good.","This was purchased for a friends' birthday and I personally have not played it. Such who got, says it's eminently good.",4.0
"I was skeptical about this working, but it did. My dog used to bark at the door constantlywhen he wanted to come in. When I first got it, I pointed it at him through the door and he went running into the yard. Ever since, he rarely barks at the door in the annoying way he used to. Now he is morepatient and will wait for us to get there with one scratch or two. :)","I was skeptical about this working, but it did. My dog used to bark at the door constantlywhen he wanted to come in. When I first got it, I pointed it at him through the door and he went running into the yard. Ever already, he sparsely barks at du door in the annoying way he utilise to. Now he is morepatient and will wait for us to get there with one scratch or two. :)",4.0
"I first heard this band when the opened for Jump Little Children...Phenomenal! This CD helps capture their sound when you hear them live. (Which I think everyone should do...) The melodies, guitar riffs, Celtic influence, strong bass talent, and mesmerizing drums make this CD an ""experience"" to listen too.Amazon should offer a money back guarantee for this album because nobody will dislike it.This album is best served with a few pints of Guinness.","I first heard this band when the opened for Jump Little Children...Phenomenal! This CD helps capture their sound when you hear them live. (Which I think everyone should do...) The melodies, guitar riffs, Celtic influence, strong bass talent, and mesmerizing drums make this CD an ""experimentation"" to listen too.Amazon should offer a money back guarantee for this album because nobody will dislike it.This scrapbooks exists higher served with a few pints of Guinness.",4.0
"Particularly if you're a single guy, you need to read this book. It's FUN! The book is a page-turner, written by an author that knows how to write (unlike most ""pickup gurus""). Thanks, Style!Nicely packaged, as well, given its simulated leather binding, gold-edged pages, and red silk bookmark built-in.","Particularly if you're a single guy, you need to read this book. It's FUN! The book is a page-turner, written by an author that knows how to write (unlike most ""pickup gurus""). Thanks, Style!Kindly berserk, because allright, given its simulated leather binding, gold-edged pages, and red silk bookmark built-in.",4.0
This was a wonderful addition to my Granddaughters collection. She can carry the soft plush animals around and we don't have to worry about her falling on them and hurting herself. My grandson also loved to play with this set... I was very impressed.,This was a wonderful addition to my Granddaughters collection. She can carry the soft plush animals around and we don't have to worry about her falling on them and hurting herself. My grandson apart cared pour play with this set... I was very striking.,4.0
"I read everything I can about D-Day, and this is a great addition to what's already out there. I'm glad I found it.","I read aii I can about D-Day, and this is a great addition to what's oj out there. I'm welcome I discovery it.",4.0
For an 8-minute EP this is a good 8 minutes. Heartfelt hardcore with poetic lyrics. Two of the songs they re-recorded and re-produced and added them to their debut full-length so go buy that one too!,For an 8-minute EP this is a good 8 minutes. Heartfelt hardcore with poetic lyrics. Deux du the ballads they re-recorded und re-produced and added them to their debut full-length so go buy that one too!,4.0
The book is used and was in a very excellent condition. Absolutely like new. I would always trust this seller.,The book is used and was in a very funky condition. Absolutely likes new. I would incessantly trusting this seller.,4.0
"This is perhaps the best book I've read about databases and UML. Muller provides insight about different RDBMS's and ORDMS's for each subject. The various characteristics of Oracle, Sybase and others are discussed in context to the subject of using UML to design databases. This is not a sales pitch for one product or another. My only complaints: there's no errata (though I'm not sure there needs to be one) and there's no online forum at the publishers site. I've enjoyed reading this book, Muller has kept this rather dry subject interesting.","This is perhaps the best book I've read about databases and UML. Muller provides insight about different RDBMS's and ORDMS's for each subject. The various characteristics of Oracle, Sybase and others are discussed in context to the subject of using UML to design databases. This is not a sales pitching for one product or another. My only complaints: there's no errata (though I'm not sure there needs to be one) and there's no online forum at the publishers site. I've cared reading this book, Muller has kept this pretty dry subject exciting.",4.0
"I purchased this battery for my brother well over a year ago. He uses his camera all the time taking photos of his toddler, so the OEM and this battery get plenty of use. He's had nothing but good things to say about this product. It performs just as well as the OEM, and for less than a third of the price it's an even better buy. Highly recommended!","I purchased this battery for my brother well over a year ago. He uses his camera all the time taking photos of his toddler, so the OEM and this battery get plenty of use. He's had nothing but bueno issues to say about this product. It performs just as well as the OEM, and for less than a third of the price it's an even better buy. Dramatically recommends!",4.0
"I purchased this food processor to do smaller jobs. I have used it twice. The first time to simply grate cheese. Simple task, it almost burned the motor out. The second time I was make a dip. The chopping blade is now stuck in the processing bowl. I have the larger 11 cup processor and am very satisified. Much easier to use and even though it costs more, it has been money well spent. I am in the process of sending this back to cuisinart (not to be replaced).","I buy this food transformer to do smaller jobs. I have used it twice. The first time to simply grate cheese. Simple task, it almost burned the motor out. The second time I was make a dip. The chopping blade is now stuck in the processing bowl. I have the bigger 11 cup processors and am very satisified. Much easier to use and even though it costs more, it has been money well spent. I am in the process of sending this back to cuisinart (not to be replaced).",4.0
I'm using this cable to connect my 360 to my monitor and it works great. The picture is very clear,I'm using this cable to connect my 360 to my monitor and it works great. The stills exists acutely clair,4.0
Great collection of pieces. Makes an awesome gift. I bought this for my dad and he loves it. Packaging is nice too.,Great collection of pieces. Makes an formidable gift. I bought this for my dad and he loves it. Packet is agreeable zu.,4.0
"As everyone Knows this Pirates of the Carribbean movie was based on the rides at Disney World and Disney Land but as silly as that sounds this movie is actually pretty good and the cast of Johnny Depp, Geoffrey Rush, Orlando Bloom and Keira Knightley is top notch and I highly recommend this movie and I hope that the planned for sequels are just as good and that they can find a way to bring back Geoffrey Rush as Balbosa.","As everyone Knows this Pirates of the Carribbean movie was based on the rides at Disney World and Disney Land but as silly as that sounds this movie is actually pretty good and the cast of Johnny Depp, Geoffrey Rush, Orlando Bloom and Keira Knightley is top notch and I highly proposed this movie and I hope that the planned for sequels are just as good and that they can find a way to bring backwards Jeffrey Rush oj Balbosa.",4.0
"This is a compilation of old records from the 1920s and 1930s. Many of these songs were covered by The Bonzo Dog Band and those that weren't should have been. Most of the songs are British dance band novelties, but not all are. These songs are a heck of a lot of fun, especially if you enjoy the Bonzo Dog Band's versions of these songs.","This is a compilation of old records from the 1920s and 1930s. Many of these songs were covered by The Bonzo Dog Band and those that weren't should have been. Most of the songs are British dance band novelties, but nos all are. These songs are a heck of a lot of enjoyable, especially unless you enjoy nova Bonzo Dog Band's versions of these songs.",4.0
He is a perfect Prince! He has stood in for all the Princes' for every Princess doll who needed a Prince. Great outfit and he's holding up nicely.,He is a flawless Prince! He has stood in for all the Princes' for every Princess doll who needed a Prince. Admirable getup and he's holding up tactfully.,4.0
after 2 weeks - a month. i used these gloves in combination with cetaphil and my hand eczema has finally vanished 90% like it has never ever ever vanished before. i have had hand eczema for years man like 12yrs. this doesn't work with every lotion so beware. but keep trying different brands of hand cream with the gloves until you notice the eczema getting better.,after 2 weeks - a month. i used these gloves in combination with cetaphil and my hand eczema has finally vanished 90% like it has never ever ever vanished before. i have had hand eczema for years man like 12yrs. this doesn't cooperated avec any lotion so attention. but keep trying different brands of hand cream with the gloves until you notice the eczema getting better.,4.0
This item was delivered in good time and in great condition. It was very easy to put together and the finished product was better than I could have guessed. I used it in my master bedroom to hold a new AV system. It works and conceals cables great.,This item was delivered in good time and in great condition. It was very easy to put together and the finished product was better than I could have guessed. I used it in my master bedroom to hold a new AV system. It cooperation y inconspicuously cables overwhelming.,4.0
